animal_type,breed,life_stage,weight_kg,daily_calories,protein_min_percent,fat_min_percent,special_nutritional_needs,common_health_issues,feeding_frequency,recommended_food_types,portion_size_grams,water_intake_ml,health_condition,protein_level,fat_level,carbohydrate_level,fiber_level,sodium_level,phosphorus_level,foods_to_avoid,special_considerations,monitoring_requirements,vet_consultation_frequency,schedule_type,feeding_times,portion_splits,morning_portion_grams,evening_portion_grams,water_availability,treat_allowance_percent,special_instructions
Dog,Labrador Retriever,puppy_kitten,2,240.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management; small_breed,68.57142857142857,100.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,5,600.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management,171.42857142857142,250.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,10,1200.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management,342.85714285714283,500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,20,2400.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management,685.7142857142857,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,30,3600.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management,1028.5714285714287,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,40,4800.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management; large_breed,1371.4285714285713,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,50,6000.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management; large_breed,1714.2857142857142,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,2,120.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management; small_breed,34.285714285714285,100.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,5,300.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management,85.71428571428571,250.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,10,600.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management,171.42857142857142,500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,20,1200.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management,342.85714285714283,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,30,1800.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management,514.2857142857143,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,40,2400.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management; large_breed,685.7142857142857,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,50,3000.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management; large_breed,857.1428571428571,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,2,96.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management; small_breed,27.428571428571427,100.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,5,240.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management,68.57142857142857,250.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,10,480.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management,137.14285714285714,500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,20,960.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management,274.2857142857143,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,30,1440.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management,411.42857142857144,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,40,1920.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management; large_breed,548.5714285714286,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,50,2400.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management; large_breed,685.7142857142857,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,puppy_kitten,2,220.0,28.0,12.0,joint_support; skin_health; growth_support; immune_support,cancer; hip_dysplasia,3.0,growth_formula; weight_management; small_breed,62.857142857142854,100.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,puppy_kitten,5,550.0,28.0,12.0,joint_support; skin_health; growth_support; immune_support,cancer; hip_dysplasia,3.0,growth_formula; weight_management,157.14285714285714,250.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,puppy_kitten,10,1100.0,28.0,12.0,joint_support; skin_health; growth_support; immune_support,cancer; hip_dysplasia,3.0,growth_formula; weight_management,314.2857142857143,500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,puppy_kitten,20,2200.0,28.0,12.0,joint_support; skin_health; growth_support; immune_support,cancer; hip_dysplasia,3.0,growth_formula; weight_management,628.5714285714286,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,puppy_kitten,30,3300.0,28.0,12.0,joint_support; skin_health; growth_support; immune_support,cancer; hip_dysplasia,3.0,growth_formula; weight_management,942.8571428571429,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,puppy_kitten,40,4400.0,28.0,12.0,joint_support; skin_health; growth_support; immune_support,cancer; hip_dysplasia,3.0,growth_formula; weight_management; large_breed,1257.142857142857,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,puppy_kitten,50,5500.0,28.0,12.0,joint_support; skin_health; growth_support; immune_support,cancer; hip_dysplasia,3.0,growth_formula; weight_management; large_breed,1571.4285714285713,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,adult,2,110.0,22.0,8.0,joint_support; skin_health; maintenance,cancer; hip_dysplasia,2.0,adult_maintenance; weight_management; small_breed,31.428571428571427,100.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,adult,5,275.0,22.0,8.0,joint_support; skin_health; maintenance,cancer; hip_dysplasia,2.0,adult_maintenance; weight_management,78.57142857142857,250.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,adult,10,550.0,22.0,8.0,joint_support; skin_health; maintenance,cancer; hip_dysplasia,2.0,adult_maintenance; weight_management,157.14285714285714,500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,adult,20,1100.0,22.0,8.0,joint_support; skin_health; maintenance,cancer; hip_dysplasia,2.0,adult_maintenance; weight_management,314.2857142857143,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,adult,30,1650.0,22.0,8.0,joint_support; skin_health; maintenance,cancer; hip_dysplasia,2.0,adult_maintenance; weight_management,471.42857142857144,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,adult,40,2200.0,22.0,8.0,joint_support; skin_health; maintenance,cancer; hip_dysplasia,2.0,adult_maintenance; weight_management; large_breed,628.5714285714286,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,adult,50,2750.0,22.0,8.0,joint_support; skin_health; maintenance,cancer; hip_dysplasia,2.0,adult_maintenance; weight_management; large_breed,785.7142857142857,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,senior,2,88.0,22.0,8.0,joint_support; skin_health; joint_support; cognitive_support,cancer; hip_dysplasia,2.0,senior_formula; weight_management; small_breed,25.142857142857142,100.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,senior,5,220.0,22.0,8.0,joint_support; skin_health; joint_support; cognitive_support,cancer; hip_dysplasia,2.0,senior_formula; weight_management,62.857142857142854,250.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,senior,10,440.0,22.0,8.0,joint_support; skin_health; joint_support; cognitive_support,cancer; hip_dysplasia,2.0,senior_formula; weight_management,125.71428571428571,500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,senior,20,880.0,22.0,8.0,joint_support; skin_health; joint_support; cognitive_support,cancer; hip_dysplasia,2.0,senior_formula; weight_management,251.42857142857142,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,senior,30,1320.0,22.0,8.0,joint_support; skin_health; joint_support; cognitive_support,cancer; hip_dysplasia,2.0,senior_formula; weight_management,377.14285714285717,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,senior,40,1760.0,22.0,8.0,joint_support; skin_health; joint_support; cognitive_support,cancer; hip_dysplasia,2.0,senior_formula; weight_management; large_breed,502.85714285714283,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Golden Retriever,senior,50,2200.0,22.0,8.0,joint_support; skin_health; joint_support; cognitive_support,cancer; hip_dysplasia,2.0,senior_formula; weight_management; large_breed,628.5714285714286,2500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,puppy_kitten,2,200.0,28.0,12.0,joint_support; digestive_health; growth_support; immune_support,hip_dysplasia; digestive_sensitivity,3.0,growth_formula; digestive_support; small_breed,57.142857142857146,100.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,puppy_kitten,5,500.0,28.0,12.0,joint_support; digestive_health; growth_support; immune_support,hip_dysplasia; digestive_sensitivity,3.0,growth_formula; digestive_support,142.85714285714286,250.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,puppy_kitten,10,1000.0,28.0,12.0,joint_support; digestive_health; growth_support; immune_support,hip_dysplasia; digestive_sensitivity,3.0,growth_formula; digestive_support,285.7142857142857,500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,puppy_kitten,20,2000.0,28.0,12.0,joint_support; digestive_health; growth_support; immune_support,hip_dysplasia; digestive_sensitivity,3.0,growth_formula; digestive_support,571.4285714285714,1000.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,puppy_kitten,30,3000.0,28.0,12.0,joint_support; digestive_health; growth_support; immune_support,hip_dysplasia; digestive_sensitivity,3.0,growth_formula; digestive_support,857.1428571428571,1500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,puppy_kitten,40,4000.0,28.0,12.0,joint_support; digestive_health; growth_support; immune_support,hip_dysplasia; digestive_sensitivity,3.0,growth_formula; digestive_support; large_breed,1142.857142857143,2000.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,puppy_kitten,50,5000.0,28.0,12.0,joint_support; digestive_health; growth_support; immune_support,hip_dysplasia; digestive_sensitivity,3.0,growth_formula; digestive_support; large_breed,1428.5714285714287,2500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,adult,2,100.0,24.0,10.0,joint_support; digestive_health; maintenance,hip_dysplasia; digestive_sensitivity,2.0,adult_maintenance; digestive_support; small_breed,28.571428571428573,100.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,adult,5,250.0,24.0,10.0,joint_support; digestive_health; maintenance,hip_dysplasia; digestive_sensitivity,2.0,adult_maintenance; digestive_support,71.42857142857143,250.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,adult,10,500.0,24.0,10.0,joint_support; digestive_health; maintenance,hip_dysplasia; digestive_sensitivity,2.0,adult_maintenance; digestive_support,142.85714285714286,500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,adult,20,1000.0,24.0,10.0,joint_support; digestive_health; maintenance,hip_dysplasia; digestive_sensitivity,2.0,adult_maintenance; digestive_support,285.7142857142857,1000.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,adult,30,1500.0,24.0,10.0,joint_support; digestive_health; maintenance,hip_dysplasia; digestive_sensitivity,2.0,adult_maintenance; digestive_support,428.57142857142856,1500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,adult,40,2000.0,24.0,10.0,joint_support; digestive_health; maintenance,hip_dysplasia; digestive_sensitivity,2.0,adult_maintenance; digestive_support; large_breed,571.4285714285714,2000.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,adult,50,2500.0,24.0,10.0,joint_support; digestive_health; maintenance,hip_dysplasia; digestive_sensitivity,2.0,adult_maintenance; digestive_support; large_breed,714.2857142857143,2500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,senior,2,80.0,24.0,10.0,joint_support; digestive_health; joint_support; cognitive_support,hip_dysplasia; digestive_sensitivity,2.0,senior_formula; digestive_support; small_breed,22.857142857142858,100.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,senior,5,200.0,24.0,10.0,joint_support; digestive_health; joint_support; cognitive_support,hip_dysplasia; digestive_sensitivity,2.0,senior_formula; digestive_support,57.142857142857146,250.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,senior,10,400.0,24.0,10.0,joint_support; digestive_health; joint_support; cognitive_support,hip_dysplasia; digestive_sensitivity,2.0,senior_formula; digestive_support,114.28571428571429,500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,senior,20,800.0,24.0,10.0,joint_support; digestive_health; joint_support; cognitive_support,hip_dysplasia; digestive_sensitivity,2.0,senior_formula; digestive_support,228.57142857142858,1000.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,senior,30,1200.0,24.0,10.0,joint_support; digestive_health; joint_support; cognitive_support,hip_dysplasia; digestive_sensitivity,2.0,senior_formula; digestive_support,342.85714285714283,1500.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,senior,40,1600.0,24.0,10.0,joint_support; digestive_health; joint_support; cognitive_support,hip_dysplasia; digestive_sensitivity,2.0,senior_formula; digestive_support; large_breed,457.14285714285717,2000.0,,,,,,,,,,,,,,,,,,,
Dog,German Shepherd,senior,50,2000.0,24.0,10.0,joint_support; digestive_health; joint_support; cognitive_support,hip_dysplasia; digestive_sensitivity,2.0,senior_formula; digestive_support; large_breed,571.4285714285714,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,puppy_kitten,2,320.0,28.0,12.0,dental_health; energy_density; growth_support; immune_support,dental_disease; hypoglycemia,3.0,growth_formula; small_breed_formula; small_breed,91.42857142857143,100.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,puppy_kitten,5,800.0,28.0,12.0,dental_health; energy_density; growth_support; immune_support,dental_disease; hypoglycemia,3.0,growth_formula; small_breed_formula,228.57142857142858,250.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,puppy_kitten,10,1600.0,28.0,12.0,dental_health; energy_density; growth_support; immune_support,dental_disease; hypoglycemia,3.0,growth_formula; small_breed_formula,457.14285714285717,500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,puppy_kitten,20,3200.0,28.0,12.0,dental_health; energy_density; growth_support; immune_support,dental_disease; hypoglycemia,3.0,growth_formula; small_breed_formula,914.2857142857143,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,puppy_kitten,30,4800.0,28.0,12.0,dental_health; energy_density; growth_support; immune_support,dental_disease; hypoglycemia,3.0,growth_formula; small_breed_formula,1371.4285714285713,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,puppy_kitten,40,6400.0,28.0,12.0,dental_health; energy_density; growth_support; immune_support,dental_disease; hypoglycemia,3.0,growth_formula; small_breed_formula; large_breed,1828.5714285714287,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,puppy_kitten,50,8000.0,28.0,12.0,dental_health; energy_density; growth_support; immune_support,dental_disease; hypoglycemia,3.0,growth_formula; small_breed_formula; large_breed,2285.714285714286,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,adult,2,160.0,25.0,12.0,dental_health; energy_density; maintenance,dental_disease; hypoglycemia,2.0,adult_maintenance; small_breed_formula; small_breed,45.714285714285715,100.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,adult,5,400.0,25.0,12.0,dental_health; energy_density; maintenance,dental_disease; hypoglycemia,2.0,adult_maintenance; small_breed_formula,114.28571428571429,250.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,adult,10,800.0,25.0,12.0,dental_health; energy_density; maintenance,dental_disease; hypoglycemia,2.0,adult_maintenance; small_breed_formula,228.57142857142858,500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,adult,20,1600.0,25.0,12.0,dental_health; energy_density; maintenance,dental_disease; hypoglycemia,2.0,adult_maintenance; small_breed_formula,457.14285714285717,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,adult,30,2400.0,25.0,12.0,dental_health; energy_density; maintenance,dental_disease; hypoglycemia,2.0,adult_maintenance; small_breed_formula,685.7142857142857,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,adult,40,3200.0,25.0,12.0,dental_health; energy_density; maintenance,dental_disease; hypoglycemia,2.0,adult_maintenance; small_breed_formula; large_breed,914.2857142857143,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,adult,50,4000.0,25.0,12.0,dental_health; energy_density; maintenance,dental_disease; hypoglycemia,2.0,adult_maintenance; small_breed_formula; large_breed,1142.857142857143,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,senior,2,128.0,25.0,12.0,dental_health; energy_density; joint_support; cognitive_support,dental_disease; hypoglycemia,2.0,senior_formula; small_breed_formula; small_breed,36.57142857142857,100.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,senior,5,320.0,25.0,12.0,dental_health; energy_density; joint_support; cognitive_support,dental_disease; hypoglycemia,2.0,senior_formula; small_breed_formula,91.42857142857143,250.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,senior,10,640.0,25.0,12.0,dental_health; energy_density; joint_support; cognitive_support,dental_disease; hypoglycemia,2.0,senior_formula; small_breed_formula,182.85714285714286,500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,senior,20,1280.0,25.0,12.0,dental_health; energy_density; joint_support; cognitive_support,dental_disease; hypoglycemia,2.0,senior_formula; small_breed_formula,365.7142857142857,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,senior,30,1920.0,25.0,12.0,dental_health; energy_density; joint_support; cognitive_support,dental_disease; hypoglycemia,2.0,senior_formula; small_breed_formula,548.5714285714286,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,senior,40,2560.0,25.0,12.0,dental_health; energy_density; joint_support; cognitive_support,dental_disease; hypoglycemia,2.0,senior_formula; small_breed_formula; large_breed,731.4285714285714,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Chihuahua,senior,50,3200.0,25.0,12.0,dental_health; energy_density; joint_support; cognitive_support,dental_disease; hypoglycemia,2.0,senior_formula; small_breed_formula; large_breed,914.2857142857143,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,puppy_kitten,2,300.0,28.0,12.0,dental_health; coat_health; growth_support; immune_support,dental_disease; skin_allergies,3.0,growth_formula; small_breed_formula; small_breed,85.71428571428571,100.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,puppy_kitten,5,750.0,28.0,12.0,dental_health; coat_health; growth_support; immune_support,dental_disease; skin_allergies,3.0,growth_formula; small_breed_formula,214.28571428571428,250.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,puppy_kitten,10,1500.0,28.0,12.0,dental_health; coat_health; growth_support; immune_support,dental_disease; skin_allergies,3.0,growth_formula; small_breed_formula,428.57142857142856,500.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,puppy_kitten,20,3000.0,28.0,12.0,dental_health; coat_health; growth_support; immune_support,dental_disease; skin_allergies,3.0,growth_formula; small_breed_formula,857.1428571428571,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,puppy_kitten,30,4500.0,28.0,12.0,dental_health; coat_health; growth_support; immune_support,dental_disease; skin_allergies,3.0,growth_formula; small_breed_formula,1285.7142857142858,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,puppy_kitten,40,6000.0,28.0,12.0,dental_health; coat_health; growth_support; immune_support,dental_disease; skin_allergies,3.0,growth_formula; small_breed_formula; large_breed,1714.2857142857142,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,puppy_kitten,50,7500.0,28.0,12.0,dental_health; coat_health; growth_support; immune_support,dental_disease; skin_allergies,3.0,growth_formula; small_breed_formula; large_breed,2142.8571428571427,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,adult,2,150.0,25.0,12.0,dental_health; coat_health; maintenance,dental_disease; skin_allergies,2.0,adult_maintenance; small_breed_formula; small_breed,42.857142857142854,100.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,adult,5,375.0,25.0,12.0,dental_health; coat_health; maintenance,dental_disease; skin_allergies,2.0,adult_maintenance; small_breed_formula,107.14285714285714,250.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,adult,10,750.0,25.0,12.0,dental_health; coat_health; maintenance,dental_disease; skin_allergies,2.0,adult_maintenance; small_breed_formula,214.28571428571428,500.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,adult,20,1500.0,25.0,12.0,dental_health; coat_health; maintenance,dental_disease; skin_allergies,2.0,adult_maintenance; small_breed_formula,428.57142857142856,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,adult,30,2250.0,25.0,12.0,dental_health; coat_health; maintenance,dental_disease; skin_allergies,2.0,adult_maintenance; small_breed_formula,642.8571428571429,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,adult,40,3000.0,25.0,12.0,dental_health; coat_health; maintenance,dental_disease; skin_allergies,2.0,adult_maintenance; small_breed_formula; large_breed,857.1428571428571,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,adult,50,3750.0,25.0,12.0,dental_health; coat_health; maintenance,dental_disease; skin_allergies,2.0,adult_maintenance; small_breed_formula; large_breed,1071.4285714285713,2500.0,,,,,,,,,,,,,,,,,,,
