animal_type,breed,life_stage,weight_kg,daily_calories,protein_min_percent,fat_min_percent,special_nutritional_needs,common_health_issues,feeding_frequency,recommended_food_types,portion_size_grams,water_intake_ml,health_condition,protein_level,fat_level,carbohydrate_level,fiber_level,sodium_level,phosphorus_level,foods_to_avoid,special_considerations,monitoring_requirements,vet_consultation_frequency,schedule_type,feeding_times,portion_splits,morning_portion_grams,evening_portion_grams,water_availability,treat_allowance_percent,special_instructions
Dog,Yorkshire Terrier,senior,2,120.0,25.0,12.0,dental_health; coat_health; joint_support; cognitive_support,dental_disease; skin_allergies,2.0,senior_formula; small_breed_formula; small_breed,34.285714285714285,100.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,senior,5,300.0,25.0,12.0,dental_health; coat_health; joint_support; cognitive_support,dental_disease; skin_allergies,2.0,senior_formula; small_breed_formula,85.71428571428571,250.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,senior,10,600.0,25.0,12.0,dental_health; coat_health; joint_support; cognitive_support,dental_disease; skin_allergies,2.0,senior_formula; small_breed_formula,171.42857142857142,500.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,senior,20,1200.0,25.0,12.0,dental_health; coat_health; joint_support; cognitive_support,dental_disease; skin_allergies,2.0,senior_formula; small_breed_formula,342.85714285714283,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,senior,30,1800.0,25.0,12.0,dental_health; coat_health; joint_support; cognitive_support,dental_disease; skin_allergies,2.0,senior_formula; small_breed_formula,514.2857142857143,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,senior,40,2400.0,25.0,12.0,dental_health; coat_health; joint_support; cognitive_support,dental_disease; skin_allergies,2.0,senior_formula; small_breed_formula; large_breed,685.7142857142857,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Yorkshire Terrier,senior,50,3000.0,25.0,12.0,dental_health; coat_health; joint_support; cognitive_support,dental_disease; skin_allergies,2.0,senior_formula; small_breed_formula; large_breed,857.1428571428571,2500.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,puppy_kitten,2,280.0,30.0,12.0,hairball_control; urinary_health; growth_support; immune_support,hairballs; urinary_tract_issues,3.0,growth_formula; small_breed,80.0,100.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,puppy_kitten,5,700.0,30.0,12.0,hairball_control; urinary_health; growth_support; immune_support,hairballs; urinary_tract_issues,3.0,growth_formula,200.0,250.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,puppy_kitten,10,1400.0,30.0,12.0,hairball_control; urinary_health; growth_support; immune_support,hairballs; urinary_tract_issues,3.0,growth_formula,400.0,500.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,adult,2,140.0,30.0,9.0,hairball_control; urinary_health; maintenance,hairballs; urinary_tract_issues,2.0,adult_maintenance; small_breed,40.0,100.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,adult,5,350.0,30.0,9.0,hairball_control; urinary_health; maintenance,hairballs; urinary_tract_issues,2.0,adult_maintenance,100.0,250.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,adult,10,700.0,30.0,9.0,hairball_control; urinary_health; maintenance,hairballs; urinary_tract_issues,2.0,adult_maintenance,200.0,500.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,senior,2,112.0,30.0,9.0,hairball_control; urinary_health; joint_support; cognitive_support,hairballs; urinary_tract_issues,2.0,senior_formula; small_breed,32.0,100.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,senior,5,280.0,30.0,9.0,hairball_control; urinary_health; joint_support; cognitive_support,hairballs; urinary_tract_issues,2.0,senior_formula,80.0,250.0,,,,,,,,,,,,,,,,,,,
Cat,Persian,senior,10,560.0,30.0,9.0,hairball_control; urinary_health; joint_support; cognitive_support,hairballs; urinary_tract_issues,2.0,senior_formula,160.0,500.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,puppy_kitten,2,300.0,30.0,12.0,high_protein; digestive_health; growth_support; immune_support,digestive_sensitivity,3.0,growth_formula; small_breed,85.71428571428571,100.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,puppy_kitten,5,750.0,30.0,12.0,high_protein; digestive_health; growth_support; immune_support,digestive_sensitivity,3.0,growth_formula,214.28571428571428,250.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,puppy_kitten,10,1500.0,30.0,12.0,high_protein; digestive_health; growth_support; immune_support,digestive_sensitivity,3.0,growth_formula,428.57142857142856,500.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,adult,2,150.0,30.0,9.0,high_protein; digestive_health; maintenance,digestive_sensitivity,2.0,adult_maintenance; small_breed,42.857142857142854,100.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,adult,5,375.0,30.0,9.0,high_protein; digestive_health; maintenance,digestive_sensitivity,2.0,adult_maintenance,107.14285714285714,250.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,adult,10,750.0,30.0,9.0,high_protein; digestive_health; maintenance,digestive_sensitivity,2.0,adult_maintenance,214.28571428571428,500.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,senior,2,120.0,30.0,9.0,high_protein; digestive_health; joint_support; cognitive_support,digestive_sensitivity,2.0,senior_formula; small_breed,34.285714285714285,100.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,senior,5,300.0,30.0,9.0,high_protein; digestive_health; joint_support; cognitive_support,digestive_sensitivity,2.0,senior_formula,85.71428571428571,250.0,,,,,,,,,,,,,,,,,,,
Cat,Siamese,senior,10,600.0,30.0,9.0,high_protein; digestive_health; joint_support; cognitive_support,digestive_sensitivity,2.0,senior_formula,171.42857142857142,500.0,,,,,,,,,,,,,,,,,,,
Dog,,,2,108.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Dog,,,5,270.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Dog,,,10,540.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Dog,,,20,1080.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Dog,,,30,1620.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Dog,,,40,2160.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Dog,,,50,2700.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Cat,,,2,126.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Cat,,,5,315.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Cat,,,10,630.0,,,,,,prescription_kidney_diet,,,kidney_disease,reduced,moderate,moderate,moderate,low,low,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly,,,,,,,,
Dog,,,2,120.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Dog,,,5,300.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Dog,,,10,600.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Dog,,,20,1200.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Dog,,,30,1800.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Dog,,,40,2400.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Dog,,,50,3000.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Cat,,,2,140.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Cat,,,5,350.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Cat,,,10,700.0,,,,,,high_fiber; low_carb,,,diabetes,moderate,moderate,low,high,moderate,moderate,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly",,,,,,,,
Dog,,,2,96.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Dog,,,5,240.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Dog,,,10,480.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Dog,,,20,960.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Dog,,,30,1440.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Dog,,,40,1920.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Dog,,,50,2400.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Cat,,,2,112.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Cat,,,5,280.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Cat,,,10,560.0,,,,,,weight_management,,,obesity,moderate,low,moderate,high,moderate,moderate,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly,,,,,,,,
Dog,,,2,120.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Dog,,,5,300.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Dog,,,10,600.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Dog,,,20,1200.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Dog,,,30,1800.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Dog,,,40,2400.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Dog,,,50,3000.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Cat,,,2,140.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Cat,,,5,350.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Cat,,,10,700.0,,,,,,limited_ingredient,,,allergies,moderate,moderate,moderate,moderate,moderate,moderate,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups,,,,,,,,
Dog,,,2,120.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,13.714285714285715,10.285714285714285,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Dog,,,5,300.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,34.285714285714285,25.71428571428571,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Dog,,,10,600.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,68.57142857142857,51.42857142857142,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Dog,,,20,1200.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,137.14285714285714,102.85714285714285,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Dog,,,30,1800.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,205.71428571428575,154.2857142857143,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Dog,,,40,2400.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,274.2857142857143,205.7142857142857,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Dog,,,50,3000.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,342.8571428571429,257.1428571428571,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Cat,,,2,140.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,16.0,12.0,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Cat,,,5,350.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,40.0,30.0,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Cat,,,10,700.0,,,,,3.0,,,,,,,,,,,,,,,puppy_kitten,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,80.0,60.0,24/7,10.0,"Soak dry food for young puppies, monitor growth rate"
Dog,,,2,120.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,17.142857142857142,17.142857142857142,24/7,10.0,Increase portions during high activity periods
Dog,,,5,300.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,42.857142857142854,42.857142857142854,24/7,10.0,Increase portions during high activity periods
Dog,,,10,600.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,85.71428571428571,85.71428571428571,24/7,10.0,Increase portions during high activity periods
Dog,,,20,1200.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,171.42857142857142,171.42857142857142,24/7,10.0,Increase portions during high activity periods
Dog,,,30,1800.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,257.14285714285717,257.14285714285717,24/7,10.0,Increase portions during high activity periods
Dog,,,40,2400.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,342.85714285714283,342.85714285714283,24/7,10.0,Increase portions during high activity periods
Dog,,,50,3000.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,428.57142857142856,428.57142857142856,24/7,10.0,Increase portions during high activity periods
Cat,,,2,140.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,20.0,20.0,24/7,10.0,Increase portions during high activity periods
Cat,,,5,350.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,50.0,50.0,24/7,10.0,Increase portions during high activity periods
Cat,,,10,700.0,,,,,2.0,,,,,,,,,,,,,,,adult_active,7:00 AM; 7:00 PM,0.5; 0.5,100.0,100.0,24/7,10.0,Increase portions during high activity periods
Dog,,,2,120.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,13.714285714285715,20.57142857142857,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Dog,,,5,300.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,34.285714285714285,51.42857142857142,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Dog,,,10,600.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,68.57142857142857,102.85714285714285,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Dog,,,20,1200.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,137.14285714285714,205.7142857142857,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Dog,,,30,1800.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,205.71428571428575,308.5714285714286,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Dog,,,40,2400.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,274.2857142857143,411.4285714285714,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Dog,,,50,3000.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,342.8571428571429,514.2857142857142,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Cat,,,2,140.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,16.0,24.0,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Cat,,,5,350.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,40.0,60.0,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Cat,,,10,700.0,,,,,2.0,,,,,,,,,,,,,,,adult_sedentary,8:00 AM; 6:00 PM,0.4; 0.6,80.0,120.0,24/7,10.0,"Monitor weight, reduce portions if gaining weight"
Dog,,,2,120.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,17.142857142857142,17.142857142857142,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Dog,,,5,300.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,42.857142857142854,42.857142857142854,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Dog,,,10,600.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,85.71428571428571,85.71428571428571,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Dog,,,20,1200.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,171.42857142857142,171.42857142857142,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Dog,,,30,1800.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,257.14285714285717,257.14285714285717,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Dog,,,40,2400.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,342.85714285714283,342.85714285714283,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Dog,,,50,3000.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,428.57142857142856,428.57142857142856,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Cat,,,2,140.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,20.0,20.0,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Cat,,,5,350.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,50.0,50.0,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
Cat,,,10,700.0,,,,,2.0,,,,,,,,,,,,,,,senior,8:00 AM; 6:00 PM,0.5; 0.5,100.0,100.0,24/7,10.0,"Soften food if dental issues, monitor appetite changes"
