animal_type,schedule_type,weight_kg,daily_calories,feeding_frequency,feeding_times,portion_splits,morning_portion_grams,evening_portion_grams,water_availability,treat_allowance_percent,special_instructions
Dog,puppy_kitten,2,120,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,13.714285714285715,10.285714285714285,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Dog,puppy_kitten,5,300,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,34.285714285714285,25.71428571428571,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Dog,puppy_kitten,10,600,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,68.57142857142857,51.42857142857142,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Dog,puppy_kitten,20,1200,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,137.14285714285714,102.85714285714285,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Dog,puppy_kitten,30,1800,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,205.71428571428575,154.2857142857143,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Dog,puppy_kitten,40,2400,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,274.2857142857143,205.7142857142857,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Dog,puppy_kitten,50,3000,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,342.8571428571429,257.1428571428571,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Cat,puppy_kitten,2,140,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,16.0,12.0,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Cat,puppy_kitten,5,350,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,40.0,30.0,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Cat,puppy_kitten,10,700,3,7:00 AM; 1:00 PM; 7:00 PM,0.4; 0.3; 0.3,80.0,60.0,24/7,10,"Soak dry food for young puppies, monitor growth rate"
Dog,adult_active,2,120,2,7:00 AM; 7:00 PM,0.5; 0.5,17.142857142857142,17.142857142857142,24/7,10,Increase portions during high activity periods
Dog,adult_active,5,300,2,7:00 AM; 7:00 PM,0.5; 0.5,42.857142857142854,42.857142857142854,24/7,10,Increase portions during high activity periods
Dog,adult_active,10,600,2,7:00 AM; 7:00 PM,0.5; 0.5,85.71428571428571,85.71428571428571,24/7,10,Increase portions during high activity periods
Dog,adult_active,20,1200,2,7:00 AM; 7:00 PM,0.5; 0.5,171.42857142857142,171.42857142857142,24/7,10,Increase portions during high activity periods
Dog,adult_active,30,1800,2,7:00 AM; 7:00 PM,0.5; 0.5,257.14285714285717,257.14285714285717,24/7,10,Increase portions during high activity periods
Dog,adult_active,40,2400,2,7:00 AM; 7:00 PM,0.5; 0.5,342.85714285714283,342.85714285714283,24/7,10,Increase portions during high activity periods
Dog,adult_active,50,3000,2,7:00 AM; 7:00 PM,0.5; 0.5,428.57142857142856,428.57142857142856,24/7,10,Increase portions during high activity periods
Cat,adult_active,2,140,2,7:00 AM; 7:00 PM,0.5; 0.5,20.0,20.0,24/7,10,Increase portions during high activity periods
Cat,adult_active,5,350,2,7:00 AM; 7:00 PM,0.5; 0.5,50.0,50.0,24/7,10,Increase portions during high activity periods
Cat,adult_active,10,700,2,7:00 AM; 7:00 PM,0.5; 0.5,100.0,100.0,24/7,10,Increase portions during high activity periods
Dog,adult_sedentary,2,120,2,8:00 AM; 6:00 PM,0.4; 0.6,13.714285714285715,20.57142857142857,24/7,10,"Monitor weight, reduce portions if gaining weight"
Dog,adult_sedentary,5,300,2,8:00 AM; 6:00 PM,0.4; 0.6,34.285714285714285,51.42857142857142,24/7,10,"Monitor weight, reduce portions if gaining weight"
Dog,adult_sedentary,10,600,2,8:00 AM; 6:00 PM,0.4; 0.6,68.57142857142857,102.85714285714285,24/7,10,"Monitor weight, reduce portions if gaining weight"
Dog,adult_sedentary,20,1200,2,8:00 AM; 6:00 PM,0.4; 0.6,137.14285714285714,205.7142857142857,24/7,10,"Monitor weight, reduce portions if gaining weight"
Dog,adult_sedentary,30,1800,2,8:00 AM; 6:00 PM,0.4; 0.6,205.71428571428575,308.5714285714286,24/7,10,"Monitor weight, reduce portions if gaining weight"
Dog,adult_sedentary,40,2400,2,8:00 AM; 6:00 PM,0.4; 0.6,274.2857142857143,411.4285714285714,24/7,10,"Monitor weight, reduce portions if gaining weight"
Dog,adult_sedentary,50,3000,2,8:00 AM; 6:00 PM,0.4; 0.6,342.8571428571429,514.2857142857142,24/7,10,"Monitor weight, reduce portions if gaining weight"
Cat,adult_sedentary,2,140,2,8:00 AM; 6:00 PM,0.4; 0.6,16.0,24.0,24/7,10,"Monitor weight, reduce portions if gaining weight"
Cat,adult_sedentary,5,350,2,8:00 AM; 6:00 PM,0.4; 0.6,40.0,60.0,24/7,10,"Monitor weight, reduce portions if gaining weight"
Cat,adult_sedentary,10,700,2,8:00 AM; 6:00 PM,0.4; 0.6,80.0,120.0,24/7,10,"Monitor weight, reduce portions if gaining weight"
Dog,senior,2,120,2,8:00 AM; 6:00 PM,0.5; 0.5,17.142857142857142,17.142857142857142,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,5,300,2,8:00 AM; 6:00 PM,0.5; 0.5,42.857142857142854,42.857142857142854,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,10,600,2,8:00 AM; 6:00 PM,0.5; 0.5,85.71428571428571,85.71428571428571,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,20,1200,2,8:00 AM; 6:00 PM,0.5; 0.5,171.42857142857142,171.42857142857142,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,30,1800,2,8:00 AM; 6:00 PM,0.5; 0.5,257.14285714285717,257.14285714285717,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,40,2400,2,8:00 AM; 6:00 PM,0.5; 0.5,342.85714285714283,342.85714285714283,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,50,3000,2,8:00 AM; 6:00 PM,0.5; 0.5,428.57142857142856,428.57142857142856,24/7,10,"Soften food if dental issues, monitor appetite changes"
Cat,senior,2,140,2,8:00 AM; 6:00 PM,0.5; 0.5,20.0,20.0,24/7,10,"Soften food if dental issues, monitor appetite changes"
Cat,senior,5,350,2,8:00 AM; 6:00 PM,0.5; 0.5,50.0,50.0,24/7,10,"Soften food if dental issues, monitor appetite changes"
Cat,senior,10,700,2,8:00 AM; 6:00 PM,0.5; 0.5,100.0,100.0,24/7,10,"Soften food if dental issues, monitor appetite changes"
