animal_type,health_condition,weight_kg,daily_calories,protein_level,fat_level,carbohydrate_level,fiber_level,sodium_level,phosphorus_level,recommended_food_types,foods_to_avoid,special_considerations,monitoring_requirements,vet_consultation_frequency
Dog,kidney_disease,2,108.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,5,270.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,10,540.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,20,1080.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,30,1620.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,40,2160.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,50,2700.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Cat,kidney_disease,2,126.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Cat,kidney_disease,5,315.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Cat,kidney_disease,10,630.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,diabetes,2,120.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Dog,diabetes,5,300.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Dog,diabetes,10,600.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Dog,diabetes,20,1200.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Dog,diabetes,30,1800.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Dog,diabetes,40,2400.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Dog,diabetes,50,3000.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Cat,diabetes,2,140.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Cat,diabetes,5,350.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Cat,diabetes,10,700.0,moderate,moderate,low,high,moderate,moderate,high_fiber; low_carb,high_sugar; high_carb,"Consistent feeding times, monitor blood glucose, high fiber","Daily glucose monitoring, regular vet visits, weight tracking","Bi-weekly initially, then monthly"
Dog,obesity,2,96.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Dog,obesity,5,240.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Dog,obesity,10,480.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Dog,obesity,20,960.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Dog,obesity,30,1440.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Dog,obesity,40,1920.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Dog,obesity,50,2400.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Cat,obesity,2,112.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Cat,obesity,5,280.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Cat,obesity,10,560.0,moderate,low,moderate,high,moderate,moderate,weight_management,high_calorie; high_fat,"Gradual weight loss, increased exercise, portion control","Weekly weight checks, body condition scoring, exercise tracking",Monthly
Dog,allergies,2,120.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Dog,allergies,5,300.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Dog,allergies,10,600.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Dog,allergies,20,1200.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Dog,allergies,30,1800.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Dog,allergies,40,2400.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Dog,allergies,50,3000.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Cat,allergies,2,140.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Cat,allergies,5,350.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
Cat,allergies,10,700.0,moderate,moderate,moderate,moderate,moderate,moderate,limited_ingredient,common_allergens,"Elimination diet, novel protein sources, avoid triggers","Symptom tracking, food diary, elimination testing",As needed for flare-ups
